105/06/01,100000,58000,0.58,0.58,0.58,0.58,-0.05,1
105/06/02,301000,204570,0.65,0.78,0.65,0.76,+0.18,11
105/06/03,286000,197330,0.72,0.72,0.60,0.60,-0.16,6
105/06/04,0,0,---,---,---,---,---,0
105/06/06,10000,5100,0.51,0.51,0.51,0.51,-0.05,1
105/06/07,35000,17600,0.52,0.52,0.48,0.48,-0.03,3
105/06/08,10000,4600,0.46,0.46,0.46,0.46,-0.02,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
