105/06/01,420000,263000,0.62,0.63,0.62,0.63,-0.02,8
105/06/02,425000,285300,0.68,0.68,0.66,0.66,+0.03,5
105/06/03,280000,164600,0.61,0.61,0.54,0.56,-0.10,10
105/06/04,150000,86000,0.58,0.58,0.56,0.56,0.00,2
105/06/06,13000,6470,0.49,0.51,0.49,0.51,-0.05,3
105/06/07,40000,21250,0.51,0.54,0.51,0.54,+0.03,3
105/06/08,65000,34450,0.53,0.53,0.53,0.53,-0.01,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,195000,121000,0.56,0.65,0.56,0.64,+0.10,6
105/06/15,55000,33300,0.62,0.62,0.60,0.60,-0.04,2
105/06/16,5000,3000,0.60,0.60,0.60,0.60,0.00,1
105/06/17,120000,74200,0.62,0.62,0.61,0.61,+0.01,2
105/06/20,35000,24350,0.70,0.70,0.69,0.69,+0.08,2
105/06/21,20000,13950,0.69,0.70,0.69,0.70,+0.01,2
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,30000,11700,0.39,0.39,0.39,0.39,-0.06,1
105/06/30,825000,310350,0.37,0.39,0.37,0.39,0.00,8
105/07/01,30000,10800,0.36,0.36,0.36,0.36,-0.03,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,400000,72000,0.18,0.18,0.18,0.18,-0.02,2
105/07/13,0,0,---,---,---,---,---,0
