105/06/01,10000,11900,1.19,1.19,1.19,1.19,-0.09,1
105/06/02,557000,645920,1.14,1.19,1.14,1.19,0.00,5
105/06/03,557000,634400,1.14,1.14,1.13,1.13,-0.06,3
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,55000,59950,1.09,1.09,1.09,1.09,-0.01,1
105/06/16,55000,56650,1.03,1.03,1.03,1.03,-0.06,1
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,181000,150230,0.83,0.83,0.83,0.83,+0.02,3
105/06/24,191000,165860,0.86,0.90,0.86,0.90,+0.07,5
105/06/27,10000,9100,0.91,0.91,0.91,0.91,+0.01,1
105/06/28,57000,50160,0.88,0.88,0.88,0.88,-0.03,1
105/06/29,186000,162610,0.85,0.89,0.85,0.89,+0.01,5
105/06/30,189000,158440,0.82,0.84,0.82,0.84,-0.05,3
105/07/01,60000,49200,0.82,0.82,0.82,0.82,-0.02,1
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
105/08/09,0,0,---,---,---,---,---,0
