105/06/01,10000,3800,0.38,0.38,0.38,0.38,-0.02,1
105/06/02,83000,36670,0.40,0.50,0.40,0.46,+0.08,7
105/06/03,73000,31160,0.43,0.45,0.39,0.39,-0.07,6
105/06/04,60000,21600,0.36,0.36,0.36,0.36,-0.03,3
105/06/06,20000,6800,0.34,0.34,0.34,0.34,-0.02,2
105/06/07,0,0,---,---,---,---,---,0
105/06/08,30000,9000,0.30,0.30,0.30,0.30,-0.04,1
105/06/13,120000,25800,0.23,0.23,0.21,0.21,-0.09,2
105/06/14,30000,5400,0.18,0.18,0.18,0.18,-0.03,1
105/06/15,10000,1700,0.17,0.17,0.17,0.17,-0.01,1
105/06/16,140000,23800,0.18,0.18,0.16,0.16,-0.01,2
105/06/17,70000,11900,0.17,0.17,0.17,0.17,+0.01,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,40000,3200,0.08,0.08,0.08,0.08,-0.01,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
