105/06/01,140000,101000,0.70,0.73,0.70,0.73,+0.06,3
105/06/02,170000,114900,0.68,0.69,0.66,0.66,-0.07,6
105/06/03,100000,64000,0.66,0.66,0.62,0.62,-0.04,2
105/06/04,20000,12600,0.63,0.63,0.63,0.63,+0.01,2
105/06/06,0,0,---,---,---,---,---,0
105/06/07,60000,41200,0.69,0.69,0.67,0.67,-0.03,2
105/06/08,432000,302980,0.69,0.72,0.69,0.69,+0.02,6
105/06/13,589000,408950,0.69,0.71,0.66,0.66,-0.03,15
105/06/14,245000,151500,0.62,0.62,0.60,0.60,-0.06,6
105/06/15,164000,90000,0.57,0.57,0.54,0.54,-0.06,6
105/06/16,500000,266000,0.52,0.54,0.52,0.53,-0.01,5
105/06/17,500000,268300,0.55,0.55,0.53,0.53,0.00,7
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,10000,5700,0.57,0.57,0.57,0.57,+0.01,1
105/06/23,10000,5700,0.57,0.57,0.57,0.57,0.00,1
105/06/24,10000,4800,0.48,0.48,0.48,0.48,-0.09,1
105/06/27,0,0,---,---,---,---,---,0
105/06/28,80000,38100,0.47,0.48,0.47,0.48,0.00,2
105/06/29,61000,31660,0.52,0.52,0.51,0.52,+0.04,6
105/06/30,33000,17940,0.55,0.55,0.54,0.54,+0.02,4
105/07/01,12000,6600,0.55,0.55,0.55,0.55,+0.01,1
105/07/04,50000,25000,0.50,0.50,0.50,0.50,-0.05,1
105/07/05,0,0,---,---,---,---,---,0
105/07/06,162000,77760,0.48,0.48,0.48,0.48,-0.02,2
105/07/07,162000,76140,0.47,0.47,0.47,0.47,-0.01,2
105/07/11,10000,4000,0.40,0.40,0.40,0.40,-0.07,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,10000,3200,0.32,0.32,0.32,0.32,-0.06,2
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
