105/06/01,6000,9810,1.64,1.64,1.63,1.63,-0.03,2
105/06/02,7000,10710,1.53,1.53,1.53,1.53,-0.10,2
105/06/03,27000,36720,1.46,1.46,1.33,1.33,-0.20,5
105/06/04,30000,41400,1.38,1.38,1.38,1.38,+0.05,2
105/06/06,33000,44550,1.36,1.36,1.30,1.35,-0.03,5
105/06/07,31000,42470,1.37,1.37,1.37,1.37,+0.02,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,13000,16380,1.26,1.26,1.26,1.26,-0.03,2
105/06/15,10000,12500,1.25,1.25,1.25,1.25,-0.01,1
105/06/16,8000,8960,1.12,1.12,1.12,1.12,-0.13,1
105/06/17,0,0,---,---,---,---,---,0
105/06/20,5000,6300,1.26,1.26,1.26,1.26,+0.11,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,29000,23110,0.80,0.80,0.79,0.79,-0.02,2
105/07/06,164000,130950,0.78,0.81,0.78,0.80,+0.01,6
105/07/07,257000,194590,0.80,0.80,0.72,0.74,-0.06,7
105/07/11,47000,37380,0.79,0.80,0.79,0.80,+0.06,2
105/07/12,20000,16420,0.83,0.83,0.82,0.82,+0.02,2
105/07/13,89000,75610,0.89,0.89,0.84,0.84,+0.02,2
105/07/14,0,0,---,---,---,---,---,0
105/07/15,17000,13260,0.78,0.78,0.78,0.78,-0.05,1
