105/06/01,169000,41320,0.23,0.27,0.23,0.25,+0.06,7
105/06/02,175000,35000,0.20,0.20,0.20,0.20,-0.05,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,25000,4000,0.16,0.16,0.16,0.16,0.00,1
105/06/07,86000,12630,0.14,0.15,0.14,0.15,-0.01,5
105/06/08,0,0,---,---,---,---,---,0
105/06/13,40000,6400,0.16,0.16,0.16,0.16,0.00,2
105/06/14,40000,4800,0.12,0.12,0.12,0.12,-0.04,3
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,18000,2880,0.16,0.16,0.16,0.16,+0.06,1
105/06/20,18000,3960,0.22,0.22,0.22,0.22,+0.06,2
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
