105/06/01,531000,1282120,2.38,2.47,2.37,2.46,+0.16,14
105/06/02,162000,376940,2.33,2.48,2.30,2.48,+0.02,5
105/06/03,284000,723170,2.55,2.61,2.45,2.48,0.00,13
105/06/04,219000,578230,2.57,2.67,2.57,2.67,+0.19,7
105/06/06,241000,661220,2.64,2.90,2.63,2.88,+0.21,13
105/06/07,790000,2210900,2.73,2.92,2.70,2.80,-0.08,23
105/06/08,277000,758360,2.85,2.85,2.72,2.76,-0.04,7
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,60000,172300,2.83,2.88,2.83,2.88,+0.23,2
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,10000,29500,2.95,2.95,2.95,2.95,+0.12,1
105/06/29,50000,157470,3.02,3.20,3.01,3.20,+0.25,5
105/06/30,85000,283700,3.23,3.49,3.23,3.26,+0.06,5
105/07/01,40000,125800,3.19,3.19,3.13,3.13,-0.13,2
105/07/04,10000,31600,3.16,3.16,3.16,3.16,+0.03,1
105/07/05,100000,337980,3.37,3.46,3.37,3.37,+0.21,4
105/07/06,10000,31700,3.25,3.27,3.03,3.03,-0.34,4
105/07/07,0,0,---,---,---,---,---,0
105/07/11,10000,29700,2.97,2.97,2.97,2.97,-0.05,1
105/07/12,10000,26600,2.66,2.66,2.66,2.66,-0.31,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
