105/06/01,148000,260480,1.76,1.76,1.76,1.76,+0.01,2
105/06/02,148000,259000,1.75,1.75,1.75,1.75,-0.01,2
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,168000,307440,1.83,1.83,1.83,1.83,+0.05,4
105/06/07,168000,299040,1.78,1.78,1.78,1.78,-0.05,4
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,164000,282080,1.72,1.72,1.72,1.72,0.00,2
105/06/28,165000,287070,1.74,1.74,1.71,1.71,-0.01,2
105/06/29,1000,1630,1.63,1.63,1.63,1.63,-0.08,1
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,100000,150000,1.50,1.50,1.50,1.50,-0.05,1
105/07/06,208000,320400,1.53,1.55,1.53,1.55,+0.05,3
105/07/07,108000,163400,1.51,1.52,1.51,1.52,-0.03,2
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
