105/06/01,272000,195640,0.72,0.72,0.71,0.72,+0.03,3
105/06/02,216000,166580,0.78,0.79,0.74,0.74,+0.02,5
105/06/03,353000,252810,0.73,0.73,0.67,0.67,-0.07,6
105/06/04,0,0,---,---,---,---,---,0
105/06/06,237000,156570,0.68,0.68,0.63,0.63,-0.08,6
105/06/07,124000,73160,0.59,0.59,0.59,0.59,-0.04,2
105/06/08,340000,179400,0.55,0.55,0.51,0.51,-0.08,4
105/06/13,184000,88320,0.48,0.48,0.48,0.48,-0.03,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,50000,18500,0.37,0.37,0.37,0.37,+0.02,1
105/06/28,50000,17000,0.34,0.34,0.34,0.34,-0.03,1
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,5000,1100,0.22,0.22,0.22,0.22,0.00,1
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
