105/06/01,1000,1200,1.20,1.20,1.20,1.20,-0.03,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,3000,4230,1.41,1.41,1.41,1.41,+0.21,1
105/06/04,3000,3750,1.25,1.25,1.25,1.25,-0.16,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,10000,14300,1.43,1.43,1.43,1.43,+0.18,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,10000,11100,1.11,1.11,1.11,1.11,-0.06,1
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
