105/06/01,20000,3200,0.16,0.16,0.16,0.16,-0.05,1
105/06/02,819000,89280,0.12,0.12,0.09,0.12,-0.04,16
105/06/03,60000,4800,0.08,0.08,0.08,0.08,-0.04,2
105/06/04,0,0,---,---,---,---,---,0
105/06/06,400000,16000,0.04,0.04,0.04,0.04,-0.04,5
105/06/07,110000,4500,0.05,0.05,0.04,0.04,0.00,2
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,10000,400,0.04,0.04,0.04,0.04,0.00,1
105/06/15,1000,30,0.03,0.03,0.03,0.03,-0.01,1
105/06/16,0,0,---,---,---,---,---,0
105/06/17,40000,800,0.02,0.02,0.02,0.02,-0.01,1
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,50000,1000,0.02,0.02,0.02,0.02,0.00,1
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,40000,400,0.01,0.01,0.01,0.01,-0.01,1
105/07/05,100000,1000,0.01,0.01,0.01,0.01,0.00,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
