105/06/01,425000,55350,0.11,0.14,0.11,0.14,+0.05,7
105/06/02,500000,60500,0.13,0.13,0.11,0.12,-0.02,4
105/06/03,150000,18000,0.12,0.12,0.12,0.12,0.00,1
105/06/04,120000,17900,0.13,0.16,0.13,0.15,+0.03,5
105/06/06,130000,18200,0.14,0.14,0.14,0.14,-0.01,1
105/06/07,80000,11800,0.16,0.16,0.14,0.14,0.00,2
105/06/08,35000,4350,0.13,0.13,0.12,0.12,-0.02,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,10000,400,0.04,0.04,0.04,0.04,-0.02,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
