105/06/01,5000,6100,1.22,1.22,1.22,1.22,-0.12,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,5000,5050,1.01,1.01,1.01,1.01,-0.06,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,0,0,---,---,---,---,---,0
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,4000,2920,0.76,0.76,0.70,0.70,-0.21,2
105/06/27,4000,3080,0.77,0.77,0.77,0.77,+0.07,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,5000,4800,0.96,0.96,0.96,0.96,+0.07,1
105/07/13,5000,4500,0.90,0.90,0.90,0.90,-0.06,1
105/07/14,10000,9050,0.93,0.93,0.88,0.88,-0.02,2
105/07/15,3000,2730,0.91,0.91,0.91,0.91,+0.03,1
105/07/18,0,0,---,---,---,---,---,0
105/07/19,3000,2100,0.70,0.70,0.70,0.70,-0.04,1
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
