105/06/01,241000,142160,0.58,0.59,0.58,0.59,-0.06,3
105/06/02,50000,31500,0.63,0.63,0.63,0.63,+0.04,1
105/06/03,0,0,---,---,---,---,---,0
105/06/04,50000,31500,0.63,0.63,0.63,0.63,0.00,1
105/06/06,0,0,---,---,---,---,---,0
105/06/07,0,0,---,---,---,---,---,0
105/06/08,20000,11600,0.58,0.58,0.58,0.58,0.00,1
105/06/13,0,0,---,---,---,---,---,0
105/06/14,46000,27300,0.60,0.60,0.55,0.55,-0.06,2
105/06/15,0,0,---,---,---,---,---,0
105/06/16,40000,8800,0.22,0.22,0.22,0.22,-0.31,1
105/06/17,40000,14000,0.35,0.35,0.35,0.35,+0.13,2
105/06/20,40000,16400,0.41,0.41,0.41,0.41,+0.06,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,5000,2250,0.45,0.45,0.45,0.45,+0.04,1
105/06/23,5000,2000,0.40,0.40,0.40,0.40,-0.05,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,6000,2280,0.38,0.38,0.38,0.38,-0.02,1
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,0,0,---,---,---,---,---,0
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
105/07/20,0,0,---,---,---,---,---,0
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,0,0,---,---,---,---,---,0
105/07/26,0,0,---,---,---,---,---,0
105/07/27,0,0,---,---,---,---,---,0
105/07/29,0,0,---,---,---,---,---,0
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
