105/06/01,214000,188020,0.86,0.88,0.86,0.88,-0.09,2
105/06/02,199000,175120,0.88,0.88,0.88,0.88,0.00,1
105/06/03,558000,493030,0.87,0.90,0.87,0.90,+0.02,6
105/06/04,558000,498130,0.90,0.90,0.89,0.89,-0.01,11
105/06/06,99000,87120,0.88,0.88,0.88,0.88,-0.01,1
105/06/07,14000,11900,0.85,0.85,0.85,0.85,-0.03,1
105/06/08,85000,72250,0.85,0.85,0.85,0.85,0.00,1
105/06/13,50000,44000,0.88,0.88,0.88,0.88,+0.03,1
105/06/14,0,0,---,---,---,---,---,0
105/06/15,600000,474000,0.79,0.79,0.79,0.79,-0.08,2
105/06/16,389000,322880,0.81,0.84,0.81,0.84,+0.05,4
105/06/17,389000,315370,0.80,0.83,0.79,0.83,-0.01,15
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,27000,20250,0.75,0.75,0.75,0.75,0.00,1
105/06/27,27000,21330,0.79,0.79,0.79,0.79,+0.04,1
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,10000,4900,0.49,0.49,0.49,0.49,-0.07,1
105/07/12,0,0,---,---,---,---,---,0
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
