105/06/01,121000,227460,1.84,1.96,1.84,1.96,+0.16,5
105/06/02,121000,219450,1.83,1.83,1.81,1.81,-0.15,4
105/06/03,4000,7160,1.79,1.79,1.79,1.79,-0.02,1
105/06/04,13000,21790,1.69,1.69,1.67,1.67,-0.12,2
105/06/06,0,0,---,---,---,---,---,0
105/06/07,98000,188920,1.91,1.94,1.91,1.94,+0.17,3
105/06/08,58000,109040,1.88,1.88,1.88,1.88,-0.06,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,0,0,---,---,---,---,---,0
