105/06/01,204000,62350,0.27,0.36,0.27,0.31,+0.05,7
105/06/02,85000,27350,0.29,0.33,0.29,0.32,+0.01,4
105/06/03,9000,2430,0.27,0.27,0.27,0.27,-0.05,1
105/06/04,0,0,---,---,---,---,---,0
105/06/06,0,0,---,---,---,---,---,0
105/06/07,90000,22500,0.25,0.25,0.25,0.25,0.00,1
105/06/08,0,0,---,---,---,---,---,0
105/06/13,12000,2280,0.19,0.19,0.19,0.19,-0.06,2
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,0,0,---,---,---,---,---,0
105/06/17,0,0,---,---,---,---,---,0
105/06/20,0,0,---,---,---,---,---,0
105/06/21,0,0,---,---,---,---,---,0
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
